Sample_name,Locus,sample_id,Hash,nReads
88,LerayXT,CLAY_13-a,bcf014db0fa81110df38538d575fa91aeda4823d,7104
88,LerayXT,CLAY_13-a,6f09afda42df08e5dbcce46aaa716e3203c03cf9,2063
88,LerayXT,CLAY_13-a,b8901524ab5f9bcdfde41df2d68eff22fe3faf03,6394
88,LerayXT,CLAY_13-a,7c8cc6012464cd770e809d55131fd216ee328e75,204
88,LerayXT,CLAY_13-a,fefde31d083db7bb12e2472389e56f7e411fc709,505
88,LerayXT,CLAY_13-a,af16bf2f97c583b1ded277f88daace8aa697e979,17
88,LerayXT,CLAY_13-a,f036f833bbc18e08a3d645fb6450c9b9a84b0f67,4
88,LerayXT,CLAY_13-a,c7feb050b7e9a3961ace4172b6deec7763f1029a,35
88,LerayXT,CLAY_13-a,cc66291fabb2eeb03160052caa4455ac202073e2,39
88,LerayXT,CLAY_13-a,67ea62282df47a1b7579f046b745d6743fd791ad,13
88,LerayXT,CLAY_13-a,930c66e06e822d3b0c5070c74852c75c2657ca1d,513
88,LerayXT,CLAY_13-a,0f436f955bbc2c28c4c6de17ce9dc95fe1030ec5,322
88,LerayXT,CLAY_13-a,f80c71e33339c6a16bcce1ad39d1f7b6e83419b2,4
88,LerayXT,CLAY_13-a,8dec73ded64bb331d2682c7ab1a1c992dd7ebf4c,210
88,LerayXT,CLAY_13-a,197b31ea89b5f3c962916b4e3773b4101a2d888e,9
88,LerayXT,CLAY_13-a,b5e585c8e5e138f593919ece61a99beb39bbdcf3,103
88,LerayXT,CLAY_13-a,78c13365e61ef4d1a875bda1d6ee63a9788ac2a8,31
88,LerayXT,CLAY_13-a,e9a4a1a9a7470a5ade4812e9bc1ad240f075be01,123
88,LerayXT,CLAY_13-a,c5e063ebbf2bb27c768cc0a715b24d1427dbdd4d,13
88,LerayXT,CLAY_13-a,13249803a9a5f933829eacbe1c8097878170fb6f,17
88,LerayXT,CLAY_13-a,5f83544bcb9b60588c89d222727232532a503060,33
88,LerayXT,CLAY_13-a,b9f2ff8dbf157e74370a4255e8cc7e657682524a,67
88,LerayXT,CLAY_13-a,203ec52c9019c7f37f74ff5ddcd7fda682cd9480,20
88,LerayXT,CLAY_13-a,bb2809beac4b0e844070fb7dcd7c5a6c13504c67,21
88,LerayXT,CLAY_13-a,16e80673be3aa59bce09fd57bc71a6951cdc67a0,7
88,LerayXT,CLAY_13-a,d8b15ad6b079e2ba1dbc08d6eed05336dfe94f80,22
