Sample_name,Locus,file1,file2
1,LerayXT,Locus_LerayXT_1-KAY-01-a_S1_L001_R1_001.fastq.fastq,Locus_LerayXT_1-KAY-01-a_S1_L001_R2_001.fastq.fastq
2,LerayXT,Locus_LerayXT_2-KAY-01-b_S2_L001_R1_001.fastq.fastq,Locus_LerayXT_2-KAY-01-b_S2_L001_R2_001.fastq.fastq
3,LerayXT,Locus_LerayXT_3-KAY-01-c_S3_L001_R1_001.fastq.fastq,Locus_LerayXT_3-KAY-01-c_S3_L001_R2_001.fastq.fastq
4,LerayXT,Locus_LerayXT_4-KAY-02-a_S4_L001_R1_001.fastq.fastq,Locus_LerayXT_4-KAY-02-a_S4_L001_R2_001.fastq.fastq
5,LerayXT,Locus_LerayXT_5-KAY-02-b_S5_L001_R1_001.fastq.fastq,Locus_LerayXT_5-KAY-02-b_S5_L001_R2_001.fastq.fastq
6,LerayXT,Locus_LerayXT_6-KAY-02-c_S6_L001_R1_001.fastq.fastq,Locus_LerayXT_6-KAY-02-c_S6_L001_R2_001.fastq.fastq
7,LerayXT,Locus_LerayXT_7-KAY-03-a_S7_L001_R1_001.fastq.fastq,Locus_LerayXT_7-KAY-03-a_S7_L001_R2_001.fastq.fastq
8,LerayXT,Locus_LerayXT_8-KAY-03-b_S8_L001_R1_001.fastq.fastq,Locus_LerayXT_8-KAY-03-b_S8_L001_R2_001.fastq.fastq
9,LerayXT,Locus_LerayXT_9-KAY-03-c_S9_L001_R1_001.fastq.fastq,Locus_LerayXT_9-KAY-03-c_S9_L001_R2_001.fastq.fastq
10,LerayXT,Locus_LerayXT_10-KAY-04-a_S10_L001_R1_001.fastq.fastq,Locus_LerayXT_10-KAY-04-a_S10_L001_R2_001.fastq.fastq
11,LerayXT,Locus_LerayXT_11-KAY-04-b_S11_L001_R1_001.fastq.fastq,Locus_LerayXT_11-KAY-04-b_S11_L001_R2_001.fastq.fastq
12,LerayXT,Locus_LerayXT_12-KAY-04-c_S12_L001_R1_001.fastq.fastq,Locus_LerayXT_12-KAY-04-c_S12_L001_R2_001.fastq.fastq
13,LerayXT,Locus_LerayXT_13-KAY-05-a_S13_L001_R1_001.fastq.fastq,Locus_LerayXT_13-KAY-05-a_S13_L001_R2_001.fastq.fastq
14,LerayXT,Locus_LerayXT_14-KAY-05-b_S14_L001_R1_001.fastq.fastq,Locus_LerayXT_14-KAY-05-b_S14_L001_R2_001.fastq.fastq
15,LerayXT,Locus_LerayXT_15-KAY-05-c_S15_L001_R1_001.fastq.fastq,Locus_LerayXT_15-KAY-05-c_S15_L001_R2_001.fastq.fastq
16,LerayXT,Locus_LerayXT_16-KAY-12-a_S16_L001_R1_001.fastq.fastq,Locus_LerayXT_16-KAY-12-a_S16_L001_R2_001.fastq.fastq
17,LerayXT,Locus_LerayXT_17-KAY-12-b_S17_L001_R1_001.fastq.fastq,Locus_LerayXT_17-KAY-12-b_S17_L001_R2_001.fastq.fastq
18,LerayXT,Locus_LerayXT_18-KAY-12-c_S18_L001_R1_001.fastq.fastq,Locus_LerayXT_18-KAY-12-c_S18_L001_R2_001.fastq.fastq
19,LerayXT,Locus_LerayXT_19-KAY-13-a_S19_L001_R1_001.fastq.fastq,Locus_LerayXT_19-KAY-13-a_S19_L001_R2_001.fastq.fastq
20,LerayXT,Locus_LerayXT_20-KAY-13-b_S20_L001_R1_001.fastq.fastq,Locus_LerayXT_20-KAY-13-b_S20_L001_R2_001.fastq.fastq
21,LerayXT,Locus_LerayXT_21-KAY-13-c_S21_L001_R1_001.fastq.fastq,Locus_LerayXT_21-KAY-13-c_S21_L001_R2_001.fastq.fastq
22,LerayXT,Locus_LerayXT_22-KAY-15-a_S22_L001_R1_001.fastq.fastq,Locus_LerayXT_22-KAY-15-a_S22_L001_R2_001.fastq.fastq
23,LerayXT,Locus_LerayXT_23-KAY-15-b_S23_L001_R1_001.fastq.fastq,Locus_LerayXT_23-KAY-15-b_S23_L001_R2_001.fastq.fastq
24,LerayXT,Locus_LerayXT_24-KAY-15-c_S24_L001_R1_001.fastq.fastq,Locus_LerayXT_24-KAY-15-c_S24_L001_R2_001.fastq.fastq
25,LerayXT,Locus_LerayXT_25-KAY-16-a_S25_L001_R1_001.fastq.fastq,Locus_LerayXT_25-KAY-16-a_S25_L001_R2_001.fastq.fastq
26,LerayXT,Locus_LerayXT_26-KAY-16-b_S26_L001_R1_001.fastq.fastq,Locus_LerayXT_26-KAY-16-b_S26_L001_R2_001.fastq.fastq
27,LerayXT,Locus_LerayXT_27-KAY-16-c_S27_L001_R1_001.fastq.fastq,Locus_LerayXT_27-KAY-16-c_S27_L001_R2_001.fastq.fastq
28,LerayXT,Locus_LerayXT_28-KAY-17-a_S28_L001_R1_001.fastq.fastq,Locus_LerayXT_28-KAY-17-a_S28_L001_R2_001.fastq.fastq
29,LerayXT,Locus_LerayXT_29-KAY-17-b_S29_L001_R1_001.fastq.fastq,Locus_LerayXT_29-KAY-17-b_S29_L001_R2_001.fastq.fastq
30,LerayXT,Locus_LerayXT_30-KAY-17-c_S30_L001_R1_001.fastq.fastq,Locus_LerayXT_30-KAY-17-c_S30_L001_R2_001.fastq.fastq
31,LerayXT,Locus_LerayXT_31-KAY-18-a_S31_L001_R1_001.fastq.fastq,Locus_LerayXT_31-KAY-18-a_S31_L001_R2_001.fastq.fastq
32,LerayXT,Locus_LerayXT_32-KAY-18-b_S32_L001_R1_001.fastq.fastq,Locus_LerayXT_32-KAY-18-b_S32_L001_R2_001.fastq.fastq
33,LerayXT,Locus_LerayXT_33-KAY-18-c_S33_L001_R1_001.fastq.fastq,Locus_LerayXT_33-KAY-18-c_S33_L001_R2_001.fastq.fastq
34,LerayXT,Locus_LerayXT_34-KAY-19-a_S34_L001_R1_001.fastq.fastq,Locus_LerayXT_34-KAY-19-a_S34_L001_R2_001.fastq.fastq
35,LerayXT,Locus_LerayXT_35-KAY-19-b_S35_L001_R1_001.fastq.fastq,Locus_LerayXT_35-KAY-19-b_S35_L001_R2_001.fastq.fastq
36,LerayXT,Locus_LerayXT_36-KAY-19-c_S36_L001_R1_001.fastq.fastq,Locus_LerayXT_36-KAY-19-c_S36_L001_R2_001.fastq.fastq
37,LerayXT,Locus_LerayXT_37-KAY-20-a_S37_L001_R1_001.fastq.fastq,Locus_LerayXT_37-KAY-20-a_S37_L001_R2_001.fastq.fastq
38,LerayXT,Locus_LerayXT_38-KAY-20-b_S38_L001_R1_001.fastq.fastq,Locus_LerayXT_38-KAY-20-b_S38_L001_R2_001.fastq.fastq
39,LerayXT,Locus_LerayXT_39-KAY-20-c_S39_L001_R1_001.fastq.fastq,Locus_LerayXT_39-KAY-20-c_S39_L001_R2_001.fastq.fastq
40,LerayXT,Locus_LerayXT_40-KAY-21-a_S40_L001_R1_001.fastq.fastq,Locus_LerayXT_40-KAY-21-a_S40_L001_R2_001.fastq.fastq
