Sample_name,Locus,file1,file2
41,LerayXT,Locus_LerayXT_41-KAY-21-b_S41_L001_R1_001.fastq.fastq,Locus_LerayXT_41-KAY-21-b_S41_L001_R2_001.fastq.fastq
42,LerayXT,Locus_LerayXT_42-KAY-21-c_S42_L001_R1_001.fastq.fastq,Locus_LerayXT_42-KAY-21-c_S42_L001_R2_001.fastq.fastq
43,LerayXT,Locus_LerayXT_43-KAY-22-a_S43_L001_R1_001.fastq.fastq,Locus_LerayXT_43-KAY-22-a_S43_L001_R2_001.fastq.fastq
44,LerayXT,Locus_LerayXT_44-KAY-22-b_S44_L001_R1_001.fastq.fastq,Locus_LerayXT_44-KAY-22-b_S44_L001_R2_001.fastq.fastq
45,LerayXT,Locus_LerayXT_45-KAY-22-c_S45_L001_R1_001.fastq.fastq,Locus_LerayXT_45-KAY-22-c_S45_L001_R2_001.fastq.fastq
46,LerayXT,Locus_LerayXT_46-KAY-23-a_S46_L001_R1_001.fastq.fastq,Locus_LerayXT_46-KAY-23-a_S46_L001_R2_001.fastq.fastq
47,LerayXT,Locus_LerayXT_47-KAY-23-b_S47_L001_R1_001.fastq.fastq,Locus_LerayXT_47-KAY-23-b_S47_L001_R2_001.fastq.fastq
48,LerayXT,Locus_LerayXT_48-KAY-23-c_S48_L001_R1_001.fastq.fastq,Locus_LerayXT_48-KAY-23-c_S48_L001_R2_001.fastq.fastq
49,LerayXT,Locus_LerayXT_49-KAY-24-a_S49_L001_R1_001.fastq.fastq,Locus_LerayXT_49-KAY-24-a_S49_L001_R2_001.fastq.fastq
50,LerayXT,Locus_LerayXT_50-KAY-24-b_S50_L001_R1_001.fastq.fastq,Locus_LerayXT_50-KAY-24-b_S50_L001_R2_001.fastq.fastq
51,LerayXT,Locus_LerayXT_51-KAY-24-c_S51_L001_R1_001.fastq.fastq,Locus_LerayXT_51-KAY-24-c_S51_L001_R2_001.fastq.fastq
52,LerayXT,Locus_LerayXT_52-CLAY-02-a_S52_L001_R1_001.fastq.fastq,Locus_LerayXT_52-CLAY-02-a_S52_L001_R2_001.fastq.fastq
53,LerayXT,Locus_LerayXT_53-CLAY-02-b_S53_L001_R1_001.fastq.fastq,Locus_LerayXT_53-CLAY-02-b_S53_L001_R2_001.fastq.fastq
54,LerayXT,Locus_LerayXT_54-CLAY-02-c_S54_L001_R1_001.fastq.fastq,Locus_LerayXT_54-CLAY-02-c_S54_L001_R2_001.fastq.fastq
55,LerayXT,Locus_LerayXT_55-CLAY-03-a_S55_L001_R1_001.fastq.fastq,Locus_LerayXT_55-CLAY-03-a_S55_L001_R2_001.fastq.fastq
56,LerayXT,Locus_LerayXT_56-CLAY-03-b_S56_L001_R1_001.fastq.fastq,Locus_LerayXT_56-CLAY-03-b_S56_L001_R2_001.fastq.fastq
57,LerayXT,Locus_LerayXT_57-CLAY-03-c_S57_L001_R1_001.fastq.fastq,Locus_LerayXT_57-CLAY-03-c_S57_L001_R2_001.fastq.fastq
58,LerayXT,Locus_LerayXT_58-CLAY-04-a_S58_L001_R1_001.fastq.fastq,Locus_LerayXT_58-CLAY-04-a_S58_L001_R2_001.fastq.fastq
59,LerayXT,Locus_LerayXT_59-CLAY-04-b_S59_L001_R1_001.fastq.fastq,Locus_LerayXT_59-CLAY-04-b_S59_L001_R2_001.fastq.fastq
60,LerayXT,Locus_LerayXT_60-CLAY-04-c_S60_L001_R1_001.fastq.fastq,Locus_LerayXT_60-CLAY-04-c_S60_L001_R2_001.fastq.fastq
61,LerayXT,Locus_LerayXT_61-CLAY-07-a_S61_L001_R1_001.fastq.fastq,Locus_LerayXT_61-CLAY-07-a_S61_L001_R2_001.fastq.fastq
62,LerayXT,Locus_LerayXT_62-CLAY-07-b_S62_L001_R1_001.fastq.fastq,Locus_LerayXT_62-CLAY-07-b_S62_L001_R2_001.fastq.fastq
63,LerayXT,Locus_LerayXT_63-CLAY-07-c_S63_L001_R1_001.fastq.fastq,Locus_LerayXT_63-CLAY-07-c_S63_L001_R2_001.fastq.fastq
64,LerayXT,Locus_LerayXT_64-CLAY-08-a_S64_L001_R1_001.fastq.fastq,Locus_LerayXT_64-CLAY-08-a_S64_L001_R2_001.fastq.fastq
65,LerayXT,Locus_LerayXT_65-CLAY-08-b_S65_L001_R1_001.fastq.fastq,Locus_LerayXT_65-CLAY-08-b_S65_L001_R2_001.fastq.fastq
66,LerayXT,Locus_LerayXT_66-CLAY-08-c_S66_L001_R1_001.fastq.fastq,Locus_LerayXT_66-CLAY-08-c_S66_L001_R2_001.fastq.fastq
67,LerayXT,Locus_LerayXT_67-CLAY-09-a_S67_L001_R1_001.fastq.fastq,Locus_LerayXT_67-CLAY-09-a_S67_L001_R2_001.fastq.fastq
68,LerayXT,Locus_LerayXT_68-CLAY-09-b_S68_L001_R1_001.fastq.fastq,Locus_LerayXT_68-CLAY-09-b_S68_L001_R2_001.fastq.fastq
69,LerayXT,Locus_LerayXT_69-CLAY-09-c_S69_L001_R1_001.fastq.fastq,Locus_LerayXT_69-CLAY-09-c_S69_L001_R2_001.fastq.fastq
70,LerayXT,Locus_LerayXT_70-CLAY-11-a_S70_L001_R1_001.fastq.fastq,Locus_LerayXT_70-CLAY-11-a_S70_L001_R2_001.fastq.fastq
71,LerayXT,Locus_LerayXT_71-CLAY-11-b_S71_L001_R1_001.fastq.fastq,Locus_LerayXT_71-CLAY-11-b_S71_L001_R2_001.fastq.fastq
72,LerayXT,Locus_LerayXT_72-CLAY-11-c_S72_L001_R1_001.fastq.fastq,Locus_LerayXT_72-CLAY-11-c_S72_L001_R2_001.fastq.fastq
73,LerayXT,Locus_LerayXT_73-CLAY-01-a_S73_L001_R1_001.fastq.fastq,Locus_LerayXT_73-CLAY-01-a_S73_L001_R2_001.fastq.fastq
74,LerayXT,Locus_LerayXT_74-CLAY-01-b_S74_L001_R1_001.fastq.fastq,Locus_LerayXT_74-CLAY-01-b_S74_L001_R2_001.fastq.fastq
75,LerayXT,Locus_LerayXT_75-CLAY-01-c_S75_L001_R1_001.fastq.fastq,Locus_LerayXT_75-CLAY-01-c_S75_L001_R2_001.fastq.fastq
76,LerayXT,Locus_LerayXT_76-MARPT-02-a_S76_L001_R1_001.fastq.fastq,Locus_LerayXT_76-MARPT-02-a_S76_L001_R2_001.fastq.fastq
77,LerayXT,Locus_LerayXT_77-MARPT-02-b_S77_L001_R1_001.fastq.fastq,Locus_LerayXT_77-MARPT-02-b_S77_L001_R2_001.fastq.fastq
78,LerayXT,Locus_LerayXT_78-MARPT-02-c_S78_L001_R1_001.fastq.fastq,Locus_LerayXT_78-MARPT-02-c_S78_L001_R2_001.fastq.fastq
79,LerayXT,Locus_LerayXT_79-MARPT-14-a_S79_L001_R1_001.fastq.fastq,Locus_LerayXT_79-MARPT-14-a_S79_L001_R2_001.fastq.fastq
80,LerayXT,Locus_LerayXT_80-MARPT-14-b_S80_L001_R1_001.fastq.fastq,Locus_LerayXT_80-MARPT-14-b_S80_L001_R2_001.fastq.fastq
81,LerayXT,Locus_LerayXT_81-MARPT-14-c_S81_L001_R1_001.fastq.fastq,Locus_LerayXT_81-MARPT-14-c_S81_L001_R2_001.fastq.fastq
82,LerayXT,Locus_LerayXT_82-CLAY-05-a_S82_L001_R1_001.fastq.fastq,Locus_LerayXT_82-CLAY-05-a_S82_L001_R2_001.fastq.fastq
83,LerayXT,Locus_LerayXT_83-CLAY-05-b_S83_L001_R1_001.fastq.fastq,Locus_LerayXT_83-CLAY-05-b_S83_L001_R2_001.fastq.fastq
84,LerayXT,Locus_LerayXT_84-CLAY-05-c_S84_L001_R1_001.fastq.fastq,Locus_LerayXT_84-CLAY-05-c_S84_L001_R2_001.fastq.fastq
85,LerayXT,Locus_LerayXT_85-CLAY-06-a_S85_L001_R1_001.fastq.fastq,Locus_LerayXT_85-CLAY-06-a_S85_L001_R2_001.fastq.fastq
86,LerayXT,Locus_LerayXT_86-CLAY-06-b_S86_L001_R1_001.fastq.fastq,Locus_LerayXT_86-CLAY-06-b_S86_L001_R2_001.fastq.fastq
87,LerayXT,Locus_LerayXT_87-CLAY-06-c_S87_L001_R1_001.fastq.fastq,Locus_LerayXT_87-CLAY-06-c_S87_L001_R2_001.fastq.fastq
88,LerayXT,Locus_LerayXT_88-MARPT-01-a_S88_L001_R1_001.fastq.fastq,Locus_LerayXT_88-MARPT-01-a_S88_L001_R2_001.fastq.fastq
92,LerayXT,Locus_LerayXT_92-MARPT-01-b_S92_L001_R1_001.fastq.fastq,Locus_LerayXT_92-MARPT-01-b_S92_L001_R2_001.fastq.fastq
93,LerayXT,Locus_LerayXT_93-MARPT-01-c_S93_L001_R1_001.fastq.fastq,Locus_LerayXT_93-MARPT-01-c_S93_L001_R2_001.fastq.fastq
95,LerayXT,Locus_LerayXT_95-Positive-Control_S95_L001_R1_001.fastq.fastq,Locus_LerayXT_95-Positive-Control_S95_L001_R2_001.fastq.fastq
96,LerayXT,Locus_LerayXT_96-Negative-Control_S96_L001_R1_001.fastq.fastq,Locus_LerayXT_96-Negative-Control_S96_L001_R2_001.fastq.fastq
