sample_id,estuary,sampling_location,sampling_date,CW_mm,CH_mm,stomach_fullness,feces,sequenced
MARPT_18,Padilla Bay,March Point,8/21/2021,5,5,1,no,
MARPT_19,Padilla Bay,March Point,8/21/2021,6,5,0.5,yes,
MARPT_20,Padilla Bay,March Point,8/21/2021,10,7.5,1.5,yes,
MARPT_21,Padilla Bay,March Point,8/21/2021,8,6.5,0.5,no,
SIN_01,Samish Bay,Samish Island North,8/23/2021,7,6.5,1,yes,
SIN_02,Samish Bay,Samish Island North,8/23/2021,5.5,5.5,0,no,
SIN_03,Samish Bay,Samish Island North,8/23/2021,6.5,6,1,no,
SIN_04,Samish Bay,Samish Island North,8/23/2021,6,5.5,2,no,
SIN_05,Samish Bay,Samish Island North,8/23/2021,9.5,8.5,1,yes,
SIN_06,Samish Bay,Samish Island North,8/23/2021,12,9.5,1,yes,
SIN_07,Samish Bay,Samish Island North,8/23/2021,10,8,1.5,no,
SIN_08,Samish Bay,Samish Island North,8/23/2021,8.5,7.5,0.5,no,
SIN_09,Samish Bay,Samish Island North,8/23/2021,6.5,6,0,yes,
SIN_10,Samish Bay,Samish Island North,8/23/2021,13.5,10.5,1,no,
SIN_11,Samish Bay,Samish Island North,8/23/2021,12,9.5,1.5,no,
SIN_12,Samish Bay,Samish Island North,8/23/2021,11.5,10.5,2,yes,
SIN_13,Samish Bay,Samish Island North,8/23/2021,7.5,7,1.5,yes,
